ResonceID,wireless.network.dissatisfaction.factor,wireless.network.dissatisfaction.text,wireless.network.feedback,myslice.satisfied,myslice.dissatisfation.factor,myslice.dissatisfation.text,myslice.feedback,video.conferencing.use,zoom.satisfied,zoom.dissatisfaction.factor,zoom.dissatisfaction.text,teams.vid.satisfied,teams.vid.dissatisfaction.factor,teams.vid.dissatisfaction.text,balance.security.usability,security.min.impact.on.work,security.effective.communication,security.know.who.to.talk.to,security.yearly.training,security.feedback,teach.2021-22,teach.platforms,blackboard.satisfied,blackboard.dissatisfation.factor,blackboard.dissatisfation.text,kaltura.satisfied,kaltura.dissatisfation.factor,kaltura.dissatisfation.text,playposit.satisfied,playposit.dissatisfation.factor,playposit.dissatisfation.text,google.suite.satisfied,google.suite.dissatisfation.factor,google.suite.dissatisfation.text,teaching.tools.find.information,teaching.tools.help.support,teaching.tools.communication,teaching.tools.feedback,assistive.tech.use,assistive.tech.use.list,assistive.tech.use.text,syracuse.edu.navigation,syracuse.edu.organization,accessibility.feedback,accessibility.policy.knowlege,accessibility.doc.creation.impact,accessibility.aware.toolkit,accessibility.professional.development,accessibility.feedback,campus.resources.text,it.challenges.text.1,it.challenges.text.2,it.challenges.text.3
826,,,"Generally speaking (and it's only been two months for me), I've yet to have any issues connecting. That said, I only connect with my laptop or mobile phone and it's mostly email and Blackboard (and OneDrive), so I'm a fairly boring user. ",Agree,,,"I generally appreciate MySlice, although there are somewhat dramatic differences between the design and aesthetic of sections of the platform, which can be a bit disorienting. ",Yes,Agree,,,,,,,Somewhat disagree,,Strongly agree,Disagree,"We have a fairly strict IT policy which can be frustrating at times to get basic programs installed on Syracuse computers. At the same time, our IT staff in Newhouse are fantastic to work with. ",Yes,Blackboard,Strongly agree,,,,,,,,,,,,Strongly agree,,,"Of the institutions that I've been at, Syracuse's use of Blackboard is fantastic. I have no complaints, and the online documentation has even encouraged me to use more features of the platform that I have in the past. ",No,,,,,,Strongly agree,Disagree,Somewhat agree,Strongly agree,"Accessibility is an important commitment, but I see two things that are a bit frustrating. The first is that there is a lot of inconsistency -- I've even attended talks on accessibility where the materials themselves were not accessible. The second is that we grossly underestimate the labor that goes into ensuring that course documents are accessible, especially when using readings and other materials in Blackboard. I somewhat wonder if having a central office or person to do these adjustments (such as .pdf corrections) would be useful, given that there is a great deal of nuance. I realize that's quite costly (and presumes faculty are planning enough in advance), but it's a struggle ... especially when so many of our ""older"" documents fail these checks but do not seem to be correctable (at least, in my skill set). That said, Syracuse Libraries is fantastic at assisting here, with respect to requests for new content. ","Campus wireless and Blackboard are the only two systems I really use, and both work well. MySlice works for the basics (employment status, payroll). I have no complaints. ",,,
827,,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,Agree,Agree,Agree,,Yes,Blackboard,Agree,,,,,,,,,,,,Agree,Agree,Agree,,No,,,Agree,Agree,,Agree,Agree,Somewhat agree,Somewhat agree,,,,,
828,,,"I don't generally use the wi-fi because I would only use it on my phone, which has unlimited data",Agree,,,,Yes,Strongly agree,,,Strongly agree,,,,Agree,Agree,Agree,Agree,,Yes,"Blackboard,Kaltura",Somewhat disagree,Ease of use,,Strongly agree,,,,,,,,,Agree,Agree,Agree,,No,,,Agree,Agree,,Agree,Somewhat disagree,Agree,Agree,"I have attended accessibility workshops in the past, but haven't seen any recent offerings. There should be formal training for new employees.",answers.syr.edu and live help lines,Remote work access has been problematic and I don't believe it's related to my computer or network (I've had them checked). I lose my connection frequently or can not log in (to rds.syr.edu) and this makes working remotely inefficient.,"If SU expects/requires us to work remotely, then our tax forms should reflect this so that we can get tax deductions.","Different technology/equipment in different classrooms, making it difficult sometimes to jump in and teach"
829,,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Strongly Disagree,Strongly agree,Strongly agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Strongly agree,Strongly agree,,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,,,,,
830,,,Sometimes goes out unexpectedly and can get bogged down and slow.,Agree,,,,Yes,Somewhat disagree,"Reliability,Picture quality,Sound quality",,,,,Disagree,Strongly Disagree,Disagree,Disagree,Somewhat agree,"Everything is locked down so tight, it is sometimes difficult to perform simple tasks.",Yes,"Blackboard,Google Suite",Agree,,,,,,,,,Agree,,,Disagree,Somewhat disagree,Somewhat disagree,The message is sometimes lost in how it is communicated - condescendingly,No,,,Somewhat agree,Somewhat disagree,,Agree,Somewhat agree,Somewhat disagree,,,,"THIS IS VERY IMPORTANT: The television screens do not show a true color or contrast representation of visual materials. The color is often wrong, the shadows dark and the highlights blocked up. Teaching photography and reviewing images regularly is very, very frustrating. Some classroom TVs used for these reviews are horrible - making the details and features of the photos unrecognizable. They are not calibrated to work with professor's computers, nor do they translate the visual material into a reasonable likeness or what should be expected in a very costly university. I am constantly apologizing to students for the quality. It's embarassing. ","I understand that security is important, but it seems as though there are unusually stringent ""lock down"" rules on computers and uses.",My iMac desktop computer is soooooooooo slow on start up and on every other use. It makes it difficult when trying to do something quickly as we often have to.
831,,,Sometimes good sometimes not easy to work with .,Agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,Agree,Somewhat agree,Agree,,No,,,,,,,,,,,,,,,,,,Yes,Other,,Somewhat agree,Agree,,Somewhat agree,Somewhat disagree,Somewhat disagree,,,,,,
832,,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,,Agree,Agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Somewhat agree,,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,,
833,,,In Shaw the JMA Wireless pilot has been dominating the bandwidth from AirOrangeX ,Agree,,,,Yes,Agree,,,Strongly agree,,,Agree,Agree,Somewhat agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Strongly agree,Strongly agree,,Agree,Strongly agree,Strongly agree,Somewhat agree,,,,,
834,,,Sometimes not available immediately or weaker signal,Agree,,,,No,,,,,,,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,,Yes,Blackboard,Strongly agree,,,,,,,,,,,,Agree,Strongly agree,Agree,,No,,,Somewhat agree,Agree,,Somewhat agree,Disagree,Somewhat disagree,Agree,,,Integrating my SU edu mail with my existing Microsoft account particularly on my iPhone,"As an adjunct 15 years after I was full time, I think there should be more timely instructions before the first teaching semester starts on day to day issues like Blackboard Test creation and self grading, posting grades, hands on use of the classroom equipentbyobsssure comfort with uses. ",
835,,,,Disagree,"Ease of use,Platform features,Other","This platform looks outdated, and does not have strong UX features.",,Yes,Agree,,,Agree,,,Agree,Agree,Somewhat agree,Disagree,Strongly agree,"Security does not seem to be a well-communicated priority. Especially for student workers or sharing documents across teams, security is only marginally addressed/considered.",No,,,,,,,,,,,,,,,,,,No,,,Disagree,Disagree,"This website is like all of the others on campus - it's fine, but it's not great. Searching is not particularly easy, there are tons of out of date pages, the calendars are pretty clunky - UX is a big deal and we don't seem to worry about it.",Disagree,Strongly disagree,Strongly disagree,Strongly agree,"Accessibility is a buzzword around here but we don't put a lot of time and effort into making sure everyone has training, knows what the standards are, etc... Answers is one of the least helpful tools in existence, but seems to be the go-to answer for questions. A more routine, regimented communication of what people need to know for accessibility would be incredibly helpful",,"Answers - this is a huge pile of documents that isn't easily searchable. Without having a direct link, it's pretty hard to navigate. ",,
836,,,,Agree,,,,Yes,Agree,,,Agree,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Yes,Blackboard,Somewhat agree,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,,Yes,,,Agree,Somewhat agree,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,,,,,
837,,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Disagree,Agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Agree,,,,,All of them ,,,
838,,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,Agree,Agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Agree,Agree,Somewhat agree,Somewhat agree,,,,,
839,"Ease of connection,Speed,Information Technology Services support for using/troubleshooting",,,Disagree,Platform reliability,,,Yes,Somewhat agree,,,Somewhat disagree,"Ease of use,Reliability,Picture quality,Sound quality",,Disagree,Disagree,Somewhat agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Disagree,,Somewhat agree,Somewhat agree,Somewhat agree,Agree,It would be nice if we could send the document to a department or person to make them accessible,,,,
840,,,,Disagree,Ease of use,,Awkward and confusing interface. ,Yes,Agree,,,Agree,,,Somewhat disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat disagree,,No,,,,,,,,,,,,,,,,,,No,,,Disagree,Somewhat disagree,"Often, to find information about activities, departments or events, it's faster and more accurate to Google from Google's homepage than to use the search feature on the SU homepage.",,,,,,,,,
841,,,Since airorangex implemented functions better,Agree,,,,Yes,Strongly agree,,,Somewhat disagree,Ease of use,,Agree,Agree,Agree,Agree,Agree,Training on phishing scams made me more knowledgeable of identifying them,No,,,,,,,,,,,,,,,,,,No,,,Agree,Somewhat agree,,,,,,,Myslice,Rsaverify has a very slow response time; lags during busy hours ,,
842,,,,Somewhat agree,,,,Yes,Strongly agree,,,Strongly agree,,,Agree,Agree,Somewhat agree,Strongly agree,Somewhat disagree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,,Somewhat agree,,,,,,answers.syr.edu - search tool brings up too much information not applicable,,
843,,,,Somewhat agree,,,,Yes,Agree,,,Agree,,,Somewhat disagree,Somewhat disagree,Agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Agree,,Strongly agree,Strongly agree,Strongly agree,,,,,,
844,,,,Agree,,,,Yes,Agree,,,Somewhat agree,,,Disagree,Disagree,Somewhat disagree,Somewhat agree,Disagree,"So we need administrators to do so many updates and new software.  So if the administrator downloads the software, why for updates do we have to go to them for approval and for them to download updates.  ",Yes,Blackboard,Somewhat agree,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,,No,,,Strongly disagree,Strongly disagree,We must be the only university without RESEARCH on the home page as a tab.  So sad!,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,,,,,
845,,,,Disagree,"Ease of use,Platform features",,"Although the new tile layout is much cleaner, it's not always clear what falls into each bucket - maybe helper text or something would be nice.  Some/many areas are not accessible via phone.  Class registration is a painful experience.  Error codes the system sends are not intuitive to the everyday person.  ",Yes,Strongly agree,,,Strongly agree,,,Strongly agree,Strongly agree,Agree,Somewhat disagree,Strongly agree,"Because of the data we are working with, I feel more training around the topic of security would be best.  The FAST system needs an upgrade.",No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,Websites here are not very unified.  So you can't find things equally across school/college/unit sites.  The experience should be the same.,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,,Answers helps me and I know to go there first before reaching out.,Our systems don't talk to each other and we don't have developers to make the connections.,Data in PeopleSoft is not reliable in some areas.,
846,,,,Agree,,,,Yes,Agree,,,Strongly agree,,,Strongly agree,Agree,Agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Strongly agree,Agree,Strongly agree,Agree,,,,,
847,,,,Strongly agree,,,,Yes,Agree,,,Somewhat agree,,,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Agree,Agree,Somewhat agree,Disagree,,remote access,,,
848,"Ease of connection,Speed",,,Somewhat disagree,"Ease of use,Information Technology Services support for using/troubleshooting,Other",It is not clear where to find things,,Yes,Agree,,,Somewhat agree,,,Disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,,Yes,Blackboard,Agree,,,,,,,,,,,,Agree,Somewhat agree,Somewhat agree,,No,,,Agree,Agree,,Agree,Agree,Somewhat agree,Somewhat agree,,I seem to do well with blackboard,The person that support my areas is not reliable. We get subpar services. ,The quality of the technology of Syracuse University is behind are peers.,"Many times what is created is not intuitive to the ""normal"" user"
849,,,,Agree,,,I would like a searchable index for department\staff better than the useless one in myslice. The old PDF was better at contacting departments,No,,,,,,,Agree,Disagree,Disagree,Agree,Agree,I find that if security clashes with software usability there is no one to contact to work out problems.,No,,,,,,,,,,,,,,,,,,Yes,Other,,Somewhat agree,Disagree,,Agree,,,,,ms outlook and office suite,,,
850,,,"Whenever I need help IT is always great at responding.  
But when we switched from SURA to RD our department was never notified.",Agree,,,,Yes,Agree,,,Agree,,,Somewhat agree,Agree,Agree,Disagree,Agree,"When there was a security breach summer 2021, my email account was one that was compromised.  Not too happy about that.  I always do a lot to protect my confidential information.  Not happy it was breached at work.  ",No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Agree,,Agree,Agree,Somewhat disagree,Strongly disagree,,,,,
851,"Ease of connection,Stability",,,Somewhat disagree,"Ease of use,Other","I liked the old interface, this one is not used friendly or intuitive ",,Yes,Agree,,,Agree,,,,Strongly Disagree,,Disagree,Somewhat disagree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat disagree,Somewhat disagree,,Disagree,,,,,,,,
852,,,It is OK,Agree,,,,Yes,Agree,,,,,,Strongly agree,Agree,Agree,Agree,Agree,,Yes,Blackboard,Agree,,,,,,,,,,,,Somewhat agree,Somewhat agree,Disagree,,No,,,Strongly agree,Agree,,Somewhat agree,,,,,General computing service,Any change in the facilities (Blackboard etc) should be communicated in a timely and clear fashion,,
853,,,,Agree,,,,Yes,Strongly agree,,,Strongly agree,,,Agree,Agree,Agree,Somewhat agree,Strongly agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Somewhat agree,Agree,Disagree,Agree,,,,,
854,,,,Somewhat agree,,,,Yes,Strongly disagree,"Ease of use,Picture quality,Sound quality",,Strongly agree,,,Agree,Strongly agree,Agree,Strongly agree,Somewhat disagree,,Yes,,,,,,,,,,,,,,Somewhat agree,Agree,Strongly disagree,,No,,,,Agree,,Strongly agree,Agree,Agree,Agree,,Office 365 & Teams,Password changes and password complexity,,
855,,,,Somewhat agree,,,,Yes,Agree,,,Agree,,,Agree,Somewhat agree,Agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,,I appreciate our in-house IT unit,,,
856,,,,Strongly agree,,,,Yes,Strongly agree,,,Strongly agree,,,Strongly agree,Strongly agree,,Somewhat agree,Strongly agree,,No,,,,,,,,,,,,,,,,,,No,,,Strongly agree,Strongly agree,,Disagree,Agree,Disagree,Strongly agree,,,Navigation of blackboard,,
857,,,,Somewhat agree,,,,Yes,Strongly agree,,,Agree,,,Agree,Agree,Agree,Somewhat agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Somewhat agree,,,,,,,,
858,"Speed,Stability",,My Phone won't connect to it,Disagree,"Ease of use,Platform features",,,Yes,Agree,,,Agree,,,Disagree,Disagree,Agree,Agree,Disagree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Disagree,,Somewhat disagree,,,,,,,,
859,,,,Strongly agree,,,,Yes,Strongly agree,,,Strongly agree,,,Agree,,Strongly agree,Strongly agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Agree,,,,,,,,
860,"Ease of connection,Speed",,I do not like the fact that they control my laptop. It takes me forever to connect especially while I am travelling. Any software update has to be done by them.,Strongly agree,,,,Yes,Agree,,,Agree,,,Somewhat agree,Somewhat disagree,Agree,Agree,Somewhat agree,,Yes,,,,,,,,,,,,,,Agree,Agree,Agree,,Yes,,,,Somewhat agree,,Somewhat agree,Somewhat disagree,,,,myslice,waiting for half an hour to connect when I am not on campus and travelling,stability of zoom in meetings,updating my software on my laptop without IT having control
861,Ease of connection,,Always have trouble getting connected,Somewhat agree,,,It’s hard to go back,Yes,Disagree,Other,Not always connecting,,,,Somewhat agree,Agree,Agree,Agree,Disagree,,Yes,Blackboard,Somewhat agree,,,,,,,,,,,,Disagree,Agree,Agree,,No,,,,,,,Agree,,Disagree,,The printer,Classroom cameras tend to not work,WiFi goes out in one classroom,
862,,,Some spots on campus have spotty Wi-Fi connectivity (i.e. the Shaw Quad) when we are trying to use laptops for event check=in.,Somewhat agree,,,,Yes,Agree,,,Agree,,,Agree,Somewhat agree,Agree,Agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Disagree,Disagree,,Disagree,,,,,,,,
863,,,,Strongly agree,,,,No,,,,,,,Agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Strongly agree,Agree,,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,,,,,
864,,,seems to work great the majority of the time,Strongly agree,,,,Yes,Strongly agree,,,Agree,,,Agree,Agree,Agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Strongly agree,Agree,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,,"Wifi, Zoom",Old laptop device,Desktop laptop connection has issues,Not getting adequate or timely help from our assigned tech person
865,"Ease of connection,Speed,Stability",,,Disagree,"Platform reliability,Platform features",,,Yes,Agree,,,Disagree,"Ease of use,Reliability,Picture quality,Sound quality",,Somewhat disagree,Somewhat disagree,Agree,Agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat disagree,Somewhat disagree,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,,,,,
866,,,,Agree,,,,Yes,Strongly agree,,,Somewhat agree,,,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,,Yes,Blackboard,Agree,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,,No,,,Strongly agree,Somewhat agree,,Agree,Agree,Agree,Strongly disagree,,,,,
867,,,,Agree,,,,Yes,,,,,,,Agree,Agree,Agree,Agree,,,Yes,Blackboard,Agree,,,,,,,,,,,,,Agree,,,No,,,,Agree,,Agree,,,,,,,,
868,,,,Strongly agree,,,,Yes,Agree,,,Somewhat agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Somewhat disagree,,,,,I use the SU website and ITS.,None at the moment.,,
869,,,It can be a challenge when outside of a building location but still on campus.,Strongly disagree,"Ease of use,Platform reliability,Platform features,Information Technology Services support for using/troubleshooting",,"The two factor authentication rollout has been incredible flawed and did not consider applicants, international students and alumni.",Yes,Strongly agree,,,Somewhat agree,,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,,Strongly agree,Disagree,Strongly agree,Agree,,,,,
870,,,n/a,Strongly agree,,,,Yes,Strongly agree,,,Strongly agree,,,Agree,Strongly agree,Agree,Somewhat agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Somewhat agree,"Part of the mission of the University is research, but yet it is not included on the syracuse.edu website home page.",Agree,Disagree,Agree,Agree,"I have attended past trainings on creating accessible documents and web content, but would welcome additional trainings as accessibility policies change and as new tools to aid in accessible content creation are made available.",The resources that are generally made available both hardware and software.,Awareness of the software options available on an enterprise level.  It would be helpful to know where there is a list of options that may be helpful in completing tasks that could be used for free because the University purchased a license.,"Software to support electronic signatures.  Since we lost Adobe sign, I am again reliant upon wet signatures for agreements and contracts.  I explored the smallest Docusign license available, but am a small office and am finding it difficult to balance current priorities with pursuing a license with this vendor.  Because of the size of the smallest license, it would make sense to partner with another office to share the license, but someone taking lead and navigating splitting the costs, etc. are hurdles as well as moving this license through to execution within the University. Any administrative help to move this through the channels would be welcome.",
871,,,,Somewhat disagree,"Ease of use,Platform reliability",,I frequently get error messages when trying to access payroll / or inputting time and need to reboot and/or try again later.,Yes,Agree,,,Agree,,,Agree,Somewhat agree,Agree,Agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Agree,,,,,,Have trouble sometimes accessing payroll / time sheet in myslice.  Have trouble inputting weekly time also.  Need to sometimes reboot and wait and/or try again later.  The other icons are usually fine but sometimes those two are problematic.,,
872,"Ease of connection,Speed",,"I'm not willing to place all blame on the system, could be some issues with my cheap phone or an Id10T issue on my part!  Usually fights signing on, doesn't always show why but sometimes hides where I can sign on (where to put password), and tends to bog down on speed even for basic usage. ",Agree,,,"Usually good for me, I've been able to use things easily most of the time.  Once in a while there's an issue, but most times it's resolved before I need to ask for help.",Yes,Agree,,,Agree,,,,Agree,Agree,Strongly agree,Agree,"Yearly security training, and leaving it accessible year round, would be good.  I feel like something is out there but I'm not sure where to find it. (on MySlice or ITS website?)",No,,,,,,,,,,,,,,,,,,No,,,Agree,Disagree,"I use Google to search for anything SU because the site search is often clogged with info that isn't pertinent to my searches. The info is readily available, so the individual sites I need to use are good, just whatever the campus search engine does is a bit off and doesn't always lead you to the areas you need.",Somewhat disagree,Agree,Disagree,Strongly agree,"I have a very vague knowledge of the accessibility guidelines, and would welcome some more easily readable write ups about it.  What I found while searching for it wasn't easy at all!","I'm lucky, we have our own IT people here so they help with a lot when things aren't perfect.  I'm not sure how it would be if we had to wait for central IT to help - they're swamped!  I think I use MySlice (with eprocurement, supplies ordering, SU procard usages the most) and FAB the most, so having access to those is critical.","Signing on remotely is sometimes problematic, but mostly resolved during and after the COVID lockdown.  Still occasional hiccups.",,
873,,,,Agree,,,,Yes,Agree,,,Agree,,,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat disagree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Somewhat disagree,Somewhat agree,Disagree,Agree,,,,,
874,"Ease of connection,Speed,Stability",,The connectivity in the classrooms on campus is horrible. I use internet applications in class and often have issues; my students also have issues and sometimes cannot complete assignments that have an upload component.,Agree,,,,Yes,Agree,,,Disagree,"Ease of use,Reliability,Other",simply not as user friendly as zoom,Somewhat disagree,Agree,,Somewhat disagree,Somewhat agree,,Yes,"Blackboard,Kaltura",Disagree,"Ease of use,Platform features,Other",Canvas is a far superior product.,Agree,,,,,,,,,Somewhat agree,Agree,,"Point Solutions is very problematic, which is sad because it's a fun idea that really helps with larger classes. ",No,,,Agree,Agree,,Somewhat agree,Disagree,Somewhat disagree,Agree,"A training on this would be great, actually.",email,my office laptop isn't functional and I've been using a loaner for about a month.,classroom connectivity is poor,Blackboard is clunky and far inferior to Canvas
875,,,,Agree,,,,Yes,Strongly agree,,,,,,Strongly agree,Agree,Agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Strongly agree,,Agree,Agree,Agree,Agree,,,,,
876,,,,Somewhat agree,,,,Yes,Strongly agree,,,Agree,,,Somewhat agree,Agree,Agree,Agree,Agree,,Yes,Blackboard,Agree,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,,No,,,Agree,Agree,,Somewhat agree,Somewhat agree,Disagree,Agree,,,,,
877,,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,Agree,Agree,Disagree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,,,,,
878,Stability,,,Disagree,"Platform features,Other",It crashes a LOT!,,Yes,,,,Strongly disagree,"Sound quality,Information Technology Services support for using/troubleshooting,Other","Constant microphone issues. Silenced in meetings daily! only answer given is ""wear headphones"", same issue with headphones as without! ",,,,Disagree,,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,,,,,,,,,,
879,,,Cuts out preiodically.,Somewhat disagree,"Ease of use,Other",It is an organizational nightmare. Here is one example. As a faculty advisor I have to look under employee services to find the schedule of classes to help students finds open course sections. How does that make any sense? Not to mention it took me FOREVER to find that link (I did so accidently).,"It needs to be organized so users can find important links. Many (e.g. schedule of classes under employees services - see above) are random. And the ANswers chatbot is limited/useless. It only returns the most obvious links, most of which I have exhausted by the time I resort to Answers and the ChatBot.",Yes,Strongly agree,,,Strongly disagree,"Ease of use,Reliability,Sound quality",,Somewhat agree,Disagree,Somewhat agree,Disagree,Somewhat disagree,"Current security protocols, while necessary, are clunky and not very efficient. ",Yes,"Blackboard,Kaltura,PlayPosit",Disagree,"Ease of use,Platform features,Other","The new version is poorly organized and difficult to use at times. I have used this platform for 25 years now. This is its worst ""upgrade"" yet.",Somewhat agree,,,Agree,,,,,,Somewhat agree,Somewhat disagree,Somewhat disagree,"I once had to call our campus Black Board support on a Friday afternoon. I got a recorded message that assured me there were ""zero"" callers ahead of me in line. I stayed on the line for some time listening to the same message repeatedly. Needless to say - no one ever picked up. ",No,,,Disagree,Disagree,"One example of disorganization. If anyone tries to contact our department from the outside for any reason, they cannot find any contact information on the webpage. They are diverted to admissions. I assure you that most of our professional contacts have adequate educational credentials. They are not interested in our admissions pages. One more example of how we are failing our R1 bid.",Strongly agree,Strongly agree,Strongly agree,Disagree,,I have an internet connection in my office most days.,"General lack of meaningful organization in Myslice, Answers, and most recently, the new version of BlackBoard.",,
880,,,,Agree,,,,Yes,Agree,,,Strongly agree,,,Agree,Strongly agree,,Agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Somewhat agree,,Agree,Somewhat agree,Agree,Agree,,,,,
881,,,,Disagree,"Ease of use,Platform features",,,Yes,Agree,,,Agree,,,Agree,Agree,Disagree,Agree,Agree,"The training needs to be handled by someone with strong presentation skills. The training should be specific to our unit environments, not generic
",No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Disagree,,Somewhat agree,Disagree,Somewhat agree,Strongly agree,Accessibility Review Committee hampers innovation at the University ,,limitation of platforms managed by ITS that don't fully support what the distributed units need. ,ITS making unilateral decisions without asking what the consequences may be for other units of the University.,
882,,,,Somewhat agree,,,,Yes,Strongly agree,,,Strongly agree,,,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Agree,,,,,I enjoy that I can access my mail from another computer and can remote in to my computer should I be working from home on an evening or weekend.,,,
883,,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,Agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Agree,Agree,,,,,,,
884,,,I've never encountered any issue getting or staying connected.,Strongly agree,,,I use MySlice multiple times a day to access the campus resources I use most.,Yes,Somewhat agree,,,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Strongly agree,Agree,,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,"Maintaining accessible content, evaluating programs for accessibility, obtaining committee approvals and maintaining enhancements, roadmaps for future changes are time consuming activities for which more resources should be allocated.","Using a University provided and managed machine for day to day work in any location is the most seamless it has ever been. Everything is automatically available for me, but still have the ability to access new things I may need with little IT intervention. While more security has been implemented, things like pass through authentication have made the process almost unnoticeable most days.","There is some duplication of services that limited already extremely limited resources. While choice matters, I wish the University would select preferred services at the enterprise level and not let units individually implement similar products. ","Lack of financial and human capital resources is greatly prohibiting the ability to innovate information technology. To be a leader in digital transformation, IT needs to be funded to take risks, not just keep the lights on.","The ability to decommission old, out of date services when necessary. For IT to change, resources must shift from the priorities of the past into the priorities of the future. This is difficult when users hang on to their way of doing things. Ideally faculty would be encouraged to allow IT to decommission old services when they no longer serve campus priorities."
